Date,Temp,Precip,Snowfall,Snowdepth
13-Feb-1978, M,0.01, T,42
14-Feb-1978, M,0,0,41
15-Feb-1978, M,0,0,41
16-Feb-1978, M,0,0,40
17-Feb-1978, M,0.01, T,40
18-Feb-1978, M,0.05,1,40
19-Feb-1978, M,0.02, T,39
20-Feb-1978, M,0,0,39
21-Feb-1978, M,0,0,39
22-Feb-1978, M,0,0,38
23-Feb-1978, M,0,0,38
24-Feb-1978, M,0.01, T,37
25-Feb-1978, M,0.01, T, M
26-Feb-1978, M,0,0, M
27-Feb-1978, M,0,0, M
28-Feb-1978, M,0,0,36
1-Mar-1978, M,0,0,37
2-Mar-1978, M,0,0, M
3-Mar-1978, M,0,0,36
4-Mar-1978, M,0.19,3,39
5-Mar-1978, M,0.02,0,39
6-Mar-1978, M,0,0,38
7-Mar-1978, M,0,0,38
8-Mar-1978, M,0,0,38
9-Mar-1978, M,0,0,37
10-Mar-1978, M,0,0,37
11-Mar-1978, M,0,0,36
12-Mar-1978, M, T,0,35
13-Mar-1978, M,0,0, M
14-Mar-1978, M,0.28,2,37
15-Mar-1978, M,0.01,0, M
16-Mar-1978, M,0,0,36
17-Mar-1978, M,0,0, M
18-Mar-1978, M,0,0,36
19-Mar-1978, M,0.34,6,42
20-Mar-1978, M,0,0, M
21-Mar-1978, M,0.39,3,40
22-Mar-1978, M,0.28,2,39
23-Mar-1978, M,0.11,0,38
24-Mar-1978, M,0,0,37
25-Mar-1978, M,0,0,36
26-Mar-1978, M,0.8,10,46
27-Mar-1978, M,0.27,0,44
28-Mar-1978, M,0.01,0,42
29-Mar-1978, M,0.14,2.5,44
30-Mar-1978, M,0.01,0,42
31-Mar-1978, M,0,0,42
1-Apr-1978,26,0.79,3,46
2-Apr-1978, M,0.04,1.5,45
3-Apr-1978,23,0,0,43
4-Apr-1978, M,0,0,42
5-Apr-1978, M,0.76,4,46
6-Apr-1978, M,0.01,0,45
7-Apr-1978,28,0,0,44
8-Apr-1978, M,0.07,0,42
9-Apr-1978,25,0,0,41
10-Apr-1978,32,0,0,40
11-Apr-1978, M,0.73,0,40
12-Apr-1978, M,0.28,0,39
13-Apr-1978, M,0.06,0,38
14-Apr-1978, M, T,0,37
15-Apr-1978,36,0,0,37
16-Apr-1978, M,0,0,36
17-Apr-1978, M,0,0,35
18-Apr-1978,38,0,0,34
19-Apr-1978, M,0,0, M
20-Apr-1978, M,0.23,0,33
21-Apr-1978, M,0.28,0, M
22-Apr-1978,36,0,0,32
23-Apr-1978,36,0,0, M
24-Apr-1978, M,0,0,30
25-Apr-1978, M,0,0,28
26-Apr-1978, M,0,0,26
27-Apr-1978, M,0,0,24
28-Apr-1978, M,0,0,22
29-Apr-1978, M,0,0,20
30-Apr-1978,28,0.02,0,19
1-May-1978, M,0.01,0,19
2-May-1978, M,0,0,18
3-May-1978, M,0,0,17
4-May-1978, M,0,0,16
5-May-1978, M,0,0,15
6-May-1978, M,0,0,13
7-May-1978, M,0,0,11
8-May-1978, M,0,0,8
9-May-1978, M,0.31,0,4
10-May-1978, M,0.3,0,0
11-May-1978, M,0,0,0
12-May-1978, M,0,0,0
13-May-1978, M,0,0,0
14-May-1978, M,0,0,0
15-May-1978, M,0,0,0
16-May-1978, M,0.18,0,0
17-May-1978, M,0.71,0,0
18-May-1978, M,0,0,0
19-May-1978, M,0,0,0
20-May-1978, M,0,0,0
21-May-1978, M,0.45,0,0
22-May-1978, M,0.01,0,0
23-May-1978, M,0,0,0
24-May-1978, M,0,0,0
25-May-1978, M,0,0,0
26-May-1978, M,0,0,0
27-May-1978, M,0,0,0
28-May-1978, M,0,0,0
29-May-1978, M,0,0,0
30-May-1978, M,0.32,0,0
31-May-1978, M,0.21,0,0
1-Jun-1978, M,0.05,0,0
2-Jun-1978, M,0.17,0,0
3-Jun-1978, M,0.18,0,0
4-Jun-1978, M,0,0,0
5-Jun-1978, M,0.15,0,0
6-Jun-1978, M,0.06,0,0
7-Jun-1978, M,0.08,0,0
8-Jun-1978, M,1.02,0,0
9-Jun-1978, M,0.81,0,0
10-Jun-1978, M,0.05,0,0
11-Jun-1978, M,0,0,0
12-Jun-1978, M,0,0,0
13-Jun-1978, M,0,0,0
14-Jun-1978, M,0.21,0,0
15-Jun-1978, M,0,0,0
16-Jun-1978, M,0,0,0
17-Jun-1978, M,0,0,0
18-Jun-1978, M,0.12,0,0
19-Jun-1978, M,1.77,0,0
20-Jun-1978, M,0.35,0,0
21-Jun-1978, M,0.16,0,0
22-Jun-1978, M,0.38,0,0
23-Jun-1978, M,0,0,0
24-Jun-1978, M,0,0,0
25-Jun-1978, M,0,0,0
26-Jun-1978, M,0,0,0
27-Jun-1978, M,0,0,0
28-Jun-1978, M,0.48,0,0
29-Jun-1978, M,0.24,0,0
30-Jun-1978, M,0,0,0
1-Jul-1978, M,0,0,0
2-Jul-1978, M,0,0,0
3-Jul-1978, M,0,0,0
4-Jul-1978, M,0,0,0
5-Jul-1978, M,0,0,0
6-Jul-1978, M,0,0,0
7-Jul-1978, M,0,0,0
8-Jul-1978, M,0,0,0
9-Jul-1978, M,0,0,0
10-Jul-1978, M,0,0,0
11-Jul-1978, M,0,0,0
12-Jul-1978, M,0,0,0
13-Jul-1978, M,0,0,0
14-Jul-1978, M,0.09,0,0
15-Jul-1978, M,0.26,0,0
16-Jul-1978, M,0.22,0,0
17-Jul-1978, M,0,0,0
18-Jul-1978, M,0,0,0
19-Jul-1978, M,0,0,0
20-Jul-1978, M,0.02,0,0
21-Jul-1978, M,0.41,0,0
22-Jul-1978, M,0.22,0,0
23-Jul-1978, M,0.12,0,0
24-Jul-1978, M,0,0,0
25-Jul-1978, M,0,0,0
26-Jul-1978, M,0,0,0
27-Jul-1978, M,0.33,0,0
28-Jul-1978, M,0.06,0,0
29-Jul-1978, M,0.01,0,0
30-Jul-1978, M,0.19,0,0
31-Jul-1978, M,0,0,0
1-Aug-1978, M,0.06,0,0
2-Aug-1978, M,0,0,0
3-Aug-1978, M,0.03,0,0
4-Aug-1978, M,0.63,0,0
5-Aug-1978, M,0,0,0
6-Aug-1978, M,0.02,0,0
7-Aug-1978, M,0,0,0
8-Aug-1978, M,0.23,0,0
9-Aug-1978, M,0.02,0,0
10-Aug-1978, M,0,0,0
11-Aug-1978, M,0,0,0
12-Aug-1978, M,0.1,0,0
13-Aug-1978, M,0,0,0
14-Aug-1978, M,0,0,0
15-Aug-1978, M,0,0,0
16-Aug-1978, M,0,0,0
17-Aug-1978, M,0.05,0,0
18-Aug-1978, M,0,0,0
19-Aug-1978, M,0,0,0
20-Aug-1978, M,0,0,0
21-Aug-1978, M,0,0,0
22-Aug-1978, M,0,0,0
23-Aug-1978, M,0,0,0
24-Aug-1978, M,0.78,0,0
25-Aug-1978, M,0,0,0
26-Aug-1978, M,0.02,0,0
27-Aug-1978, M,0.01,0,0
28-Aug-1978, M,0.42,0,0
29-Aug-1978, M,0.16,0,0
30-Aug-1978, M,0,0,0
31-Aug-1978, M,0,0,0
1-Sep-1978, M,0,0,0
2-Sep-1978, M,0,0,0
3-Sep-1978, M,0.05,0,0
4-Sep-1978, M,0,0,0
5-Sep-1978, M,0,0,0
6-Sep-1978, M,0.06,0,0
7-Sep-1978, M,0.41,0,0
8-Sep-1978, M,0,0,0
9-Sep-1978, M,0.02,0,0
10-Sep-1978, M,0,0,0
11-Sep-1978, M,0.02,0,0
12-Sep-1978, M,0.69,0,0
13-Sep-1978, M,0,0,0
14-Sep-1978, M,0,0,0
15-Sep-1978, M,0.09,0,0
16-Sep-1978, M,0,0,0
17-Sep-1978, M,0,0,0
18-Sep-1978, M,0,0,0
19-Sep-1978, M,0,0,0
20-Sep-1978, M,0,0,0
21-Sep-1978, M,0.12,0,0
22-Sep-1978, M,0,0,0
23-Sep-1978, M,0,0,0
24-Sep-1978, M,0,0,0
25-Sep-1978, M,0.03,0,0
26-Sep-1978, M,0,0,0
27-Sep-1978, M,0,0,0
28-Sep-1978, M,0.06,0,0
29-Sep-1978, M,0,0,0
30-Sep-1978, M,0,0,0
1-Oct-1978, M,0.52,0,0
2-Oct-1978, M,0,0,0
3-Oct-1978, M,0,0,0
4-Oct-1978, M,0.27,0,0
5-Oct-1978, M,0.11,0,0
6-Oct-1978, M,0.25,0,0
7-Oct-1978, M,0.01,0,0
8-Oct-1978, M,0.01, T,0
9-Oct-1978, M,0,0,0
10-Oct-1978, M,0,0,0
11-Oct-1978, M,0,0,0
12-Oct-1978, M,0,0,0
13-Oct-1978, M,0.24,0,0
14-Oct-1978, M,0.94,0,0
15-Oct-1978, M,0.12,0,0
16-Oct-1978, M,0,0,0
17-Oct-1978, M,0,0,0
18-Oct-1978, M,0,0,0
19-Oct-1978, M,0.01,0,0
20-Oct-1978, M,0.01,0,0
21-Oct-1978, M,0,0,0
22-Oct-1978, M,0,0,0
23-Oct-1978, M,0.09,0,0
24-Oct-1978, M,0,0,0
25-Oct-1978, M,0,0,0
26-Oct-1978, M,0.27,0,0
27-Oct-1978, M,0.27,0,0
28-Oct-1978, M,0.06,0,0
29-Oct-1978, M,0,0,0
30-Oct-1978, M,0,0,0
31-Oct-1978, M,0,0,0
1-Nov-1978, M,0,0,0
2-Nov-1978, M,0,0,0
3-Nov-1978, M,0,0,0
4-Nov-1978, M,0,0,0
5-Nov-1978, M,0,0,0
6-Nov-1978, M,0,0,0
7-Nov-1978, M,0.05,0,0
8-Nov-1978, M,0.02,0,0
9-Nov-1978, M,0,0,0
10-Nov-1978, M,0,0,0
11-Nov-1978, M,0,0,0
12-Nov-1978, M,0,0,0
13-Nov-1978, M,0,0,0
14-Nov-1978, M,0.35,0,0
15-Nov-1978, M,0.03,0,0
16-Nov-1978, M,0,0,0
17-Nov-1978, M,0.11,0,0
18-Nov-1978, M,0.58,0,0
19-Nov-1978, M,0,0,0
20-Nov-1978, M,0,0,0
21-Nov-1978, M,0,0,0
22-Nov-1978, M,0,0,0
23-Nov-1978, M,0.02, T, T
24-Nov-1978, M,0.32,3,3
25-Nov-1978, M,0.05,2,3
26-Nov-1978, M,0.02, T,5
27-Nov-1978, M,0.03, T,5
28-Nov-1978, M,0.38,6,11
29-Nov-1978, M,0.02, T,10
30-Nov-1978, M,0.01, T,8
1-Dec-1978, M,0,0, M
2-Dec-1978, M,0.05,1,8
3-Dec-1978, M,0.13,1.5,9
4-Dec-1978, M,0.26,1,9
5-Dec-1978, M,0,0,8
6-Dec-1978, M,0,0,7
7-Dec-1978, M,0,0,7
8-Dec-1978, M,0.12,0,7
9-Dec-1978, M,0.16,2,9
10-Dec-1978, M,0.07,1,10
11-Dec-1978, M,0,0,10
12-Dec-1978, M, T,0, M
13-Dec-1978, M,0.11,2,11
14-Dec-1978, M,0.01,0, M
15-Dec-1978, M,0,0, M
16-Dec-1978, M,0,0,9
17-Dec-1978, M,0.38,8,17
18-Dec-1978, M,0.08,1.5,18
19-Dec-1978, M,0,0, M
20-Dec-1978, M, T,0,17
21-Dec-1978, M,0.52,4,21
22-Dec-1978, M,0,0, M
23-Dec-1978, M,0.01,0, M
24-Dec-1978, M,0,0,19
25-Dec-1978, M,0.61,6,25
26-Dec-1978, M,0.07,1, M
27-Dec-1978, M,0.02, T,25
28-Dec-1978, M,0,0, M
29-Dec-1978, M,0.02, T,23
30-Dec-1978, M,0,0,22
31-Dec-1978, M,0,0,21
1-Jan-1979, M,0.34,0, M
2-Jan-1979, M,0.57,0,16
3-Jan-1979, M,0.22, M, M
4-Jan-1979, M,0,0,14
5-Jan-1979, M,0.02, T, M
6-Jan-1979, M,0,0,14
7-Jan-1979, M,0.37,3.5,18
8-Jan-1979, M,0.76,8.5,26
9-Jan-1979, M,0.03, M,27
10-Jan-1979, M,0,0,27
11-Jan-1979, M,0,0, M
12-Jan-1979, M,0,0,24
13-Jan-1979, M,0.31,5,29
14-Jan-1979, M,0.25, M,26
15-Jan-1979, M,0.05, M,27
16-Jan-1979, M, T, T,27
17-Jan-1979, M,0.25,3,30
18-Jan-1979, M,0.16,3,33
19-Jan-1979, M,0,0,32
20-Jan-1979, M,0,0,31
21-Jan-1979, M,0.87,4,35
22-Jan-1979, M,0.1,0, M
23-Jan-1979, M,0.01,0,34
24-Jan-1979, M,0,0,32
25-Jan-1979, M,0.61,6,38
26-Jan-1979, M,0.02,0,36
27-Jan-1979, M,0.07, T,34
28-Jan-1979, M,0.01,0,32
29-Jan-1979, M,0.03,0,32
30-Jan-1979, M,0.34,3,33
31-Jan-1979, M,0.5,5,41
1-Feb-1979, M,0.04,0.5,42
2-Feb-1979, M,0.01, T,41
3-Feb-1979, M,0.01, T,40
4-Feb-1979, M,0,0, M
5-Feb-1979, M,0.11,1.5,40
6-Feb-1979, M,0,0,40
7-Feb-1979, M,0,0, M
8-Feb-1979, M,0.03,0,38
9-Feb-1979, M,0,0,37
10-Feb-1979, M,0,0, M
11-Feb-1979, M,0,0,37
12-Feb-1979, M,0,0,37
13-Feb-1979, M,0,0,37
14-Feb-1979, M,0,0,37
15-Feb-1979, M,0,0,37
16-Feb-1979, M,0,0,36
17-Feb-1979, M,0,0,36
18-Feb-1979, M,0,0,36
19-Feb-1979, M,0,0,36
20-Feb-1979, M,0,0, M
21-Feb-1979, M,0.09,1.5, M
22-Feb-1979, M,0.06,0.5,37
23-Feb-1979, M,0,0, M
24-Feb-1979, M,0.19,0,36
25-Feb-1979, M,0,0,35
26-Feb-1979, M,0.54, M,37
27-Feb-1979, M,0.14, M, M
28-Feb-1979, M,0.01,0,37
1-Mar-1979, M,0,0,37
2-Mar-1979, M,0.04,0,36
3-Mar-1979, M,0,0,36
4-Mar-1979, M,0,0,35
5-Mar-1979, M,0.28,0,31
6-Mar-1979, M,0.58,0,27
7-Mar-1979, M,0.29,0,26
8-Mar-1979, M,0,0,25
9-Mar-1979, M,0,0,24
10-Mar-1979, M,0.24,0,25
11-Mar-1979, M,0.39,3,28
12-Mar-1979, M,0.07,0,27
13-Mar-1979, M,0,0,26
14-Mar-1979, M,0.5,0,25
15-Mar-1979, M,0,0,25
16-Mar-1979, M, T,0,25
17-Mar-1979, M,0,0,25
18-Mar-1979, M,0,0,25
19-Mar-1979, M,0,0,25
20-Mar-1979, M,0,0,23
21-Mar-1979, M,0,0,20
22-Mar-1979, M,0,0,18
23-Mar-1979, M,0,0,16
24-Mar-1979, M,0,0,14
25-Mar-1979, M,0.28,0,12
26-Mar-1979, M,0.07,0,11
27-Mar-1979, M,0,0,10
28-Mar-1979, M,0,0,10
29-Mar-1979, M,0,0,9
30-Mar-1979, M,0.02,0,8
31-Mar-1979, M,0.4,0,8
1-Apr-1979, M,0.01,0,8
2-Apr-1979, M,0.53,0, M
3-Apr-1979, M,0.08,0, M
4-Apr-1979, M, T,0,3
5-Apr-1979, M,0.57,5, M
6-Apr-1979, M,0.18,3,8
7-Apr-1979, M,0.13,9,17
8-Apr-1979, M,0.01,0,16
9-Apr-1979, M,0.37,4,20
10-Apr-1979, M,0.17,2, M
11-Apr-1979, M,0,0,16
12-Apr-1979, M,0,0, M
13-Apr-1979, M,0,0,10
14-Apr-1979, M,0,0, M
15-Apr-1979, M,0.17,0,8
16-Apr-1979, M,0,0,6
17-Apr-1979, M,0,0,4
18-Apr-1979, M,0,0,2
19-Apr-1979, M,0,0,0
20-Apr-1979, M,0,0,0
21-Apr-1979, M,0,0,0
22-Apr-1979, M,0,0,0
23-Apr-1979, M,0,0,0
24-Apr-1979, M,0,0,0
25-Apr-1979, M,0,0,0
26-Apr-1979, M,0.04,0,0
27-Apr-1979, M,0.46,0,0
28-Apr-1979, M,0.06,0,0
29-Apr-1979, M,0.28,0,0
30-Apr-1979, M,0,0,0
1-May-1979, M,0.1,0,0
2-May-1979, M,0.06,0,0
3-May-1979, M,0,0,0
4-May-1979, M,0.61,0,0
5-May-1979, M,0.04,0,0
6-May-1979, M,0,0,0
7-May-1979, M,0,0,0
8-May-1979, M,0,0,0
9-May-1979, M,0,0,0
10-May-1979, M,0,0,0
11-May-1979, M,0,0,0
12-May-1979, M,0,0,0
13-May-1979, M,0.01,0,0
14-May-1979, M,0.11,0,0
15-May-1979, M,0,0,0
16-May-1979, M,0,0,0
17-May-1979, M,0,0,0
18-May-1979, M,0,0,0
19-May-1979, M,0,0,0
20-May-1979, M,0,0,0
21-May-1979, M,0.24,0,0
22-May-1979, M,0.08,0,0
23-May-1979, M,0,0,0
24-May-1979, M,0.65,0,0
25-May-1979, M,1.35,0,0
26-May-1979, M,0.2,0,0
27-May-1979, M,0,0,0
28-May-1979, M,0.21,0,0
29-May-1979, M,0.78,0,0
30-May-1979, M,0.21,0,0
31-May-1979, M,0.18,0,0
1-Jun-1979, M,0,0,0
2-Jun-1979, M,0,0,0
3-Jun-1979, M,0.08,0,0
4-Jun-1979, M,0.06,0,0
5-Jun-1979, M,0.75,0,0
6-Jun-1979, M,0.03,0,0
7-Jun-1979, M,0,0,0
8-Jun-1979, M,0,0,0
9-Jun-1979, M,0.11,0,0
10-Jun-1979, M,0.09,0,0
11-Jun-1979, M,0,0,0
12-Jun-1979, M,0.59,0,0
13-Jun-1979, M,0.07,0,0
14-Jun-1979, M,0,0,0
15-Jun-1979, M,0,0,0
16-Jun-1979, M,0.26,0,0
17-Jun-1979, M,0,0,0
18-Jun-1979, M,0,0,0
19-Jun-1979, M,0,0,0
20-Jun-1979, M,0,0,0
21-Jun-1979, M,0,0,0
22-Jun-1979, M,0,0,0
23-Jun-1979, M,0.03,0,0
24-Jun-1979, M,0,0,0
25-Jun-1979, M,0,0,0
26-Jun-1979, M,0,0,0
27-Jun-1979, M,0,0,0
28-Jun-1979, M,0,0,0
29-Jun-1979, M,0.11,0,0
30-Jun-1979, M,0.13,0,0
1-Jul-1979, M,0.45,0,0
2-Jul-1979, M,0.27,0,0
3-Jul-1979, M,0.14,0,0
4-Jul-1979, M,0,0,0
5-Jul-1979, M,0,0,0
6-Jul-1979, M,0,0,0
7-Jul-1979, M,0,0,0
8-Jul-1979, M,0,0,0
9-Jul-1979, M,0,0,0
10-Jul-1979, M,0,0,0
11-Jul-1979, M,0,0,0
12-Jul-1979, M,0,0,0
13-Jul-1979, M,0,0,0
14-Jul-1979, M,0,0,0
15-Jul-1979, M,0,0,0
16-Jul-1979, M,0.11,0,0
17-Jul-1979, M,0.08,0,0
18-Jul-1979, M,0.75,0,0
19-Jul-1979, M,0.01,0,0
20-Jul-1979, M,0,0,0
21-Jul-1979, M,0,0,0
22-Jul-1979, M,0,0,0
23-Jul-1979, M,0,0,0
24-Jul-1979, M,0,0,0
25-Jul-1979, M,0,0,0
26-Jul-1979, M,0.26,0,0
27-Jul-1979, M,0.09,0,0
28-Jul-1979, M,0,0,0
29-Jul-1979, M,0,0,0
30-Jul-1979, M,0,0,0
31-Jul-1979, M,0,0,0
1-Aug-1979, M,0.24,0,0
2-Aug-1979, M,0,0,0
3-Aug-1979, M,0.21,0,0
4-Aug-1979, M,0,0,0
5-Aug-1979, M,0.37,0,0
6-Aug-1979, M,0.02,0,0
7-Aug-1979, M,0,0,0
8-Aug-1979, M,0.18,0,0
9-Aug-1979, M,0,0,0
10-Aug-1979, M,0.77,0,0
11-Aug-1979, M,0.03,0,0
12-Aug-1979, M,0.02,0,0
13-Aug-1979, M,0.33,0,0
14-Aug-1979, M,0.09,0,0
15-Aug-1979, M,0.21,0,0
16-Aug-1979, M,0,0,0
17-Aug-1979, M,0,0,0
18-Aug-1979, M,0.04,0,0
19-Aug-1979, M,0.41,0,0
20-Aug-1979, M,0,0,0
21-Aug-1979, M,0.02,0,0
22-Aug-1979, M,0,0,0
23-Aug-1979, M,0,0,0
24-Aug-1979, M,0.15,0,0
25-Aug-1979, M,0.42,0,0
26-Aug-1979, M,0,0,0
27-Aug-1979, M,0.57,0,0
28-Aug-1979, M,0,0,0
29-Aug-1979, M,0.01,0,0
30-Aug-1979, M,0.16,0,0
31-Aug-1979, M,0.01,0,0
1-Sep-1979, M,0,0,0
2-Sep-1979, M,0,0,0
3-Sep-1979, M,0.16,0,0
4-Sep-1979, M,0,0,0
5-Sep-1979, M,0,0,0
6-Sep-1979, M,1.31,0,0
7-Sep-1979, M,0.03,0,0
8-Sep-1979, M,0,0,0
9-Sep-1979, M,0,0,0
10-Sep-1979, M,0,0,0
11-Sep-1979, M,0.01,0,0
12-Sep-1979, M,0,0,0
13-Sep-1979, M,0,0,0
14-Sep-1979, M,1.36,0,0
15-Sep-1979, M,0.01,0,0
16-Sep-1979, M,0,0,0
17-Sep-1979, M,0,0,0
18-Sep-1979, M,0,0,0
19-Sep-1979, M,0.38,0,0
20-Sep-1979, M,0,0,0
21-Sep-1979, M,0,0,0
22-Sep-1979, M,0,0,0
23-Sep-1979, M,0,0,0
24-Sep-1979, M,0,0,0
25-Sep-1979, M,0,0,0
26-Sep-1979, M,0,0,0
27-Sep-1979, M,0,0,0
28-Sep-1979, M,0.05,0,0
29-Sep-1979, M,0.08,0,0
30-Sep-1979, M,0,0,0
1-Oct-1979, M,0, M, M
2-Oct-1979, M,0.27, M, M
3-Oct-1979, M,0.26, M, M
4-Oct-1979, M,0.24, M, M
5-Oct-1979, M,0.04, M, M
6-Oct-1979, M,0.4, M, M
7-Oct-1979, M,0.24, M, M
8-Oct-1979, M,0.08, M, M
9-Oct-1979, M,0.45, M, M
10-Oct-1979, M,0, M, M
11-Oct-1979, M,0, M, M
12-Oct-1979, M,0.48, M, M
13-Oct-1979, M,0.08, M, M
14-Oct-1979, M,0.01, M, M
15-Oct-1979, M,0.06, M, M
16-Oct-1979, M,0, M, M
17-Oct-1979, M,0, M, M
18-Oct-1979, M,0.03, M, M
19-Oct-1979, M,0, M, M
20-Oct-1979, M,0.07, M, M
21-Oct-1979, M,0.05, M, M
22-Oct-1979, M,0.04, M, M
23-Oct-1979, M,0, M, M
24-Oct-1979, M,0.74, M, M
25-Oct-1979, M,0.01, M, M
26-Oct-1979, M,0, M, M
27-Oct-1979, M,0, M, M
28-Oct-1979, M,0.08, M, M
29-Oct-1979, M,0.15, M, M
30-Oct-1979, M,0, M, M
31-Oct-1979, M,0, M, M
1-Nov-1979, M,0, M, M
2-Nov-1979, M,0.1, M, M
3-Nov-1979, M,1.18, M, M
4-Nov-1979, M,0, M, M
5-Nov-1979, M,0, M, M
6-Nov-1979, M,0, M, M
7-Nov-1979, M,0, M, M
8-Nov-1979, M,0, M, M
9-Nov-1979, M,0, M, M
10-Nov-1979, M,0.44, M, M
11-Nov-1979, M,0, M, M
12-Nov-1979, M,0, M, M
13-Nov-1979, M,0, M, M
14-Nov-1979, M,0.04, M, M
15-Nov-1979, M,0, M, M
16-Nov-1979, M,0.1, M, M
17-Nov-1979, M,0.01, M, M
18-Nov-1979, M,0, M, M
19-Nov-1979, M,0, M, M
20-Nov-1979, M,0.16, M, M
21-Nov-1979, M,0.01, M, M
22-Nov-1979, M,0.08, M, M
23-Nov-1979, M,0, M, M
24-Nov-1979, M, T, M, M
25-Nov-1979, M,0.3, M, M
26-Nov-1979, M,0.11, M, M
27-Nov-1979, M,0.36, M, M
28-Nov-1979, M,0.02, M, M
29-Nov-1979, M,0, M, M
30-Nov-1979, M,0.01, M, M
1-Dec-1979, M,0,0,0
2-Dec-1979, M,0.06,0,0
3-Dec-1979, M,0,0,0
4-Dec-1979, M,0.04,0,0
5-Dec-1979, M,0.1,1.5,2
6-Dec-1979, M, T,0,0
7-Dec-1979, M,0.08,0.5,0
8-Dec-1979, M,0.13,2,3
9-Dec-1979, M,0.03,0,3
10-Dec-1979, M,0.08,0,3
11-Dec-1979, M,0.04,0,2
12-Dec-1979, M,0.09,0,0
13-Dec-1979, M,0.06,0,0
14-Dec-1979, M,0.09,3,3
15-Dec-1979, M,0,0,2
16-Dec-1979, M,0,0,0
17-Dec-1979, M,0,0,0
18-Dec-1979, M,0,0,0
19-Dec-1979, M,0,0,0
20-Dec-1979, M,0,0,0
21-Dec-1979, M,0,0,0
22-Dec-1979, M,0,0,0
23-Dec-1979, M,0.03,0,0
24-Dec-1979, M,0.34,0,0
25-Dec-1979, M,1.07,0,0
26-Dec-1979, M,0.01,0,0
27-Dec-1979, M,0.04,0.5,0
28-Dec-1979, M,0.07,0.6,0
29-Dec-1979, M,0.06,1,1
30-Dec-1979, M,0.04,0,0
31-Dec-1979, M,0,0,0
1-Jan-1980, M,0,0, M
2-Jan-1980, M,0,0, M
3-Jan-1980, M,0,0, M
4-Jan-1980, M,0,0, M
5-Jan-1980, M,0,0,1
6-Jan-1980, M,0,0, M
7-Jan-1980, M,0.11,2,3
8-Jan-1980, M,0,0, M
9-Jan-1980, M,0,0, M
10-Jan-1980, M,0,0, M
11-Jan-1980, M,0.23,0,2
12-Jan-1980, M,0.53,0, M
13-Jan-1980, M,0,0, M
14-Jan-1980, M,0.1,0, M
15-Jan-1980, M,0.13,0, M
16-Jan-1980, M,0,0, M
17-Jan-1980, M,0,0, M
18-Jan-1980, M,0,0, M
19-Jan-1980, M,0,0, M
20-Jan-1980, M,0.02, T, M
21-Jan-1980, M,0.01, T, M
22-Jan-1980, M,0.07,1.5, M
